event_id,startup_id,event_date,event_type,stage_at_event,amount_in_inr,milestone_note
EV000001,STA00001,2025-05-01,incubated,pre-seed,0,Joined Forge pre-incubation programme.
EV000002,STA00001,2025-06-03,prototype_built,pre-seed,0,Working prototype demonstrated to 5 pilot users.
EV000003,STA00002,2024-06-06,incubated,pre-seed,0,Joined Forge pre-incubation programme.
EV000004,STA00002,2024-10-26,prototype_built,pre-seed,0,MVP built and tested internally.
EV000005,STA00002,2025-04-11,demo_day,seed,0,Presented at Forge Demo Day; selected top-3 startup.
EV000006,STA00002,2025-07-23,pilot_signed,seed,0,MoU executed with Jio Platforms for 3-month trial.
EV000007,STA00002,2026-03-14,pre_seed_round,seed,1000000,₹10 raised at pre-seed from 2 investors.
EV000008,STA00002,2026-06-08,product_launched,seed,0,Product launched on App Store and Play Store.
EV000009,STA00003,2022-01-12,incubated,pre-seed,0,Selected for NIT Trichy cohort 2022.
EV000010,STA00003,2022-03-18,prototype_built,pre-seed,0,MVP built and tested internally.
EV000011,STA00003,2022-08-30,product_launched,bootstrapped,0,Public beta launched; 200 waitlist converts.
EV000012,STA00003,2023-04-08,revenue_milestone,bootstrapped,2500000,₹25 ARR milestone crossed.
EV000013,STA00004,2024-01-22,incubated,pre-seed,0,Selected for Forge cohort 2024.
EV000014,STA00004,2024-03-23,grant_received,pre-seed,3000000,AIM-iCREATE grant of ₹30 awarded.
EV000015,STA00004,2024-12-07,prototype_built,pre-seed,0,Working prototype demonstrated to 3 pilot users.
EV000016,STA00005,2025-03-14,incubated,pre-seed,0,Joined IIMB pre-incubation programme.
EV000017,STA00005,2025-05-12,prototype_built,pre-seed,0,MVP built and tested internally.
EV000018,STA00006,2025-02-22,incubated,pre-seed,0,Joined CIIE.CO pre-incubation programme.
EV000019,STA00006,2025-11-13,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000020,STA00007,2024-02-23,incubated,pre-seed,0,Selected for Forge cohort 2024.
EV000021,STA00007,2024-05-10,prototype_built,pre-seed,0,MVP built and tested internally.
EV000022,STA00007,2024-10-21,demo_day,seed,0,Presented at CIIE.CO Demo Day; selected top-3 startup.
EV000023,STA00007,2025-01-16,pilot_signed,seed,0,Pilot agreement signed with SBI.
EV000024,STA00007,2025-05-01,pre_seed_round,seed,1000000,₹10 raised at pre-seed from 7 investors.
EV000025,STA00007,2025-09-15,product_launched,seed,0,Public beta launched; 200 waitlist converts.
EV000026,STA00008,2023-05-11,incubated,pre-seed,0,Admitted to NSRCEL incubation centre.
EV000027,STA00008,2024-01-18,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000028,STA00008,2024-06-26,product_launched,bootstrapped,0,Product launched on App Store and Play Store.
EV000029,STA00008,2024-08-30,revenue_milestone,bootstrapped,1500000,Reached ₹15 MRR.
EV000030,STA00009,2024-06-20,incubated,pre-seed,0,Selected for NSRCEL cohort 2024.
EV000031,STA00009,2024-10-03,prototype_built,pre-seed,0,Working prototype demonstrated to 8 pilot users.
EV000032,STA00009,2025-02-09,demo_day,seed,0,Showcased at Smart India Hackathon finals.
EV000033,STA00009,2025-03-13,pilot_signed,seed,0,Pilot agreement signed with BPCL.
EV000034,STA00009,2025-05-07,pre_seed_round,seed,5000000,Pre-seed round of ₹50 closed.
EV000035,STA00009,2025-11-15,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000036,STA00010,2024-06-01,incubated,pre-seed,0,Joined T-Hub pre-incubation programme.
EV000037,STA00010,2025-01-31,prototype_built,pre-seed,0,MVP built and tested internally.
EV000038,STA00010,2025-11-05,demo_day,seed,0,Presented at CIIE.CO Demo Day; selected top-3 startup.
EV000039,STA00010,2026-02-08,pilot_signed,seed,0,LOI received from 8 SME clients.
EV000040,STA00010,2026-05-18,pre_seed_round,series-a,1000000,₹10 raised at pre-seed from 5 investors.
EV000041,STA00010,2027-02-04,product_launched,seed,0,SaaS platform went live; 50 sign-ups on day one.
EV000042,STA00010,2027-11-01,revenue_milestone,series-a,10000,First paying customer onboarded at ₹10/month.
EV000043,STA00010,2027-12-16,seed_round,series-a,1000000,Seed round of ₹10 closed.
EV000044,STA00010,2028-09-13,series_a_round,series-a,50000000,Series A of ₹5 closed.
EV000045,STA00011,2026-06-27,incubated,pre-seed,0,Selected for Anna University cohort 2026.
EV000046,STA00011,2027-03-31,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000047,STA00012,2025-06-16,incubated,pre-seed,0,Joined IIT Madras pre-incubation programme.
EV000048,STA00012,2025-11-06,grant_received,pre-seed,3000000,AIM-iCREATE grant of ₹30 awarded.
EV000049,STA00012,2026-05-31,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000050,STA00013,2024-04-15,incubated,pre-seed,0,Selected for Forge cohort 2024.
EV000051,STA00013,2024-12-06,grant_received,pre-seed,500000,AIM-iCREATE grant of ₹5 awarded.
EV000052,STA00013,2025-02-17,prototype_built,pre-seed,0,Working prototype demonstrated to 8 pilot users.
EV000053,STA00014,2024-05-22,incubated,pre-seed,0,Admitted to IIMB incubation centre.
EV000054,STA00014,2024-09-01,prototype_built,pre-seed,0,Working prototype demonstrated to 3 pilot users.
EV000055,STA00014,2025-05-28,product_launched,bootstrapped,0,Public beta launched; 200 waitlist converts.
EV000056,STA00014,2025-07-17,revenue_milestone,bootstrapped,3000000,₹30 ARR milestone crossed.
EV000057,STA00015,2025-03-11,incubated,pre-seed,0,Admitted to IIT Madras incubation centre.
EV000058,STA00015,2025-11-07,grant_received,pre-seed,1000000,Received ₹10 BIRAC BIG grant.
EV000059,STA00015,2026-03-21,prototype_built,pre-seed,0,Hardware prototype passed bench tests.
EV000060,STA00016,2022-05-24,incubated,pre-seed,0,Admitted to CIIE.CO incubation centre.
EV000061,STA00016,2022-11-06,prototype_built,pre-seed,0,Working prototype demonstrated to 9 pilot users.
EV000062,STA00016,2023-08-10,demo_day,seed,0,Pitched at T-Hub Investor Summit.
EV000063,STA00016,2024-03-23,pilot_signed,seed,0,Pilot agreement signed with Indian Railways.
EV000064,STA00016,2024-11-05,pre_seed_round,series-a,2000000,Pre-seed round of ₹20 closed.
EV000065,STA00016,2025-01-25,product_launched,seed,0,Public beta launched; 200 waitlist converts.
EV000066,STA00016,2025-04-03,revenue_milestone,series-a,5000000,₹50 ARR milestone crossed.
EV000067,STA00016,2025-11-13,seed_round,series-a,3000000,₹30 seed investment from VC firm.
EV000068,STA00016,2026-04-12,series_a_round,series-a,50000000,₹5 Series A led by institutional VC.
EV000069,STA00017,2024-04-21,incubated,pre-seed,0,Selected for IIT Madras cohort 2024.
EV000070,STA00017,2024-08-09,prototype_built,pre-seed,0,Working prototype demonstrated to 6 pilot users.
EV000071,STA00017,2025-04-29,product_launched,bootstrapped,0,SaaS platform went live; 50 sign-ups on day one.
EV000072,STA00017,2025-11-28,revenue_milestone,bootstrapped,1500000,Reached ₹15 MRR.
EV000073,STA00018,2022-05-09,incubated,pre-seed,0,Admitted to T-Hub incubation centre.
EV000074,STA00018,2022-07-16,prototype_built,pre-seed,0,Working prototype demonstrated to 7 pilot users.
EV000075,STA00018,2022-09-30,demo_day,seed,0,Pitched at NIT Trichy Investor Summit.
