achievement_id,profile_id,category,title,issuing_body,year,impact_level,notes,verified,nirf_countable
ACH000001,ALU-0010,incubator_selection,Admitted — T-Hub LabStart Programme,CIIE.CO Ahmedabad,2020,campus,Recognised at annual convocation ceremony.,false,false
ACH000002,STU-0095,patent_filing,Patent Application: Multimodal Soil Sensor Array,Indian Patent Office,2025,campus,Outcome used as evidence in grant application.,false,false
ACH000003,ALU-0049,hackathon_win,Grand Prix — Google Solution Challenge India,NASA,2025,campus,Featured in institution newsletter.,false,false
ACH000004,STU-0045,publication,Paper in Springer LNCS Vol. 14221,IEEE,2020,regional,Team received ₹50K prize money.,false,false
ACH000005,ALU-0060,incubator_selection,Selected — NIDHI PRAYAS Cohort 7,DST-NIDHI,2021,national,Presented at national-level summit post-win.,false,false
ACH000006,ALU-0042,fellowship,Qualcomm Innovation Fellowship India,"PMRF, MHRD",2019,regional,Led to incubation cell admission.,false,false
ACH000007,ALU-0020,hackathon_win,1st Place — IIT Madras Shaastra Hack,NASA,2020,campus,Led to incubation cell admission.,false,false
ACH000008,ALU-0152,prototype_completion,Working Prototype of IoT Health Monitor,IIC — Institution's Innovation Cell,2020,campus,Featured in institution newsletter.,false,false
ACH000009,ALU-0056,hackathon_win,Winner — Smart India Hackathon 2024,IIT Madras,2023,campus,Resulted in follow-on collaboration with industry partner.,false,false
ACH000010,STU-0291,leadership_role,"Technical Lead, IEEE Student Chapter",IEEE India Council,2019,campus,Resulted in follow-on collaboration with industry partner.,false,false
ACH000011,STU-0052,prototype_completion,MVP Completion — AI Crop Disease Detector,"Incubation Cell, CIT",2022,national,Recognised at annual convocation ceremony.,false,false
ACH000012,STU-0056,hackathon_win,Winner — Smart India Hackathon 2024,Google,2022,campus,Presented at national-level summit post-win.,false,false
ACH000013,ALU-0157,fellowship,Infosys Foundation Fellowship,Infosys Foundation,2021,national,Outcome used as evidence in grant application.,false,false
ACH000014,ALU-0177,hackathon_win,1st Place — IIT Madras Shaastra Hack,"Ministry of Education, GoI",2025,national,Team received ₹50K prize money.,false,false
