profile_id,competition_points,internship_points,raw_skill_score,skill_level,total_confidence_boost,competition_event_count,internship_event_count,skills_json
ALU-0002,24.75,0.0,24.75,Developing,0.05,1,0,[]
ALU-0003,28.8,0.0,28.8,Intermediate,0.05,1,0,[]
ALU-0004,33.0,0.0,33.0,Intermediate,0.05,1,0,[]
ALU-0006,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0007,18.9,0.0,18.9,Developing,0.15,3,0,[]
ALU-0008,10.8,0.0,10.8,Beginner,0.05,1,0,[]
ALU-0009,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0010,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0011,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0012,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0013,9.9,0.0,9.9,Beginner,0.1,2,0,[]
ALU-0014,9.0,0.0,9.0,Beginner,0.05,1,0,[]
ALU-0018,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0020,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0021,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0023,6.0,0.0,6.0,Beginner,0.05,1,0,[]
ALU-0024,111.3,0.0,111.3,Advanced,0.55,11,0,[]
ALU-0030,44.0,0.0,44.0,Intermediate,0.05,1,0,[]
ALU-0033,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0034,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0036,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0040,68.8,0.0,68.8,Proficient,0.1,2,0,[]
ALU-0041,36.0,0.8,36.8,Intermediate,0.08,1,1,[]
ALU-0042,0.0,12.24,12.24,Developing,0.03,0,1,[]
ALU-0043,2.4,0.0,2.4,Beginner,0.05,1,0,[]
ALU-0044,6.75,0.0,6.75,Beginner,0.05,1,0,[]
ALU-0047,68.3,0.0,68.3,Proficient,0.15,3,0,[]
ALU-0048,9.9,0.0,9.9,Beginner,0.05,1,0,[]
ALU-0049,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0051,48.45,0.0,48.45,Intermediate,0.25,5,0,[]
ALU-0052,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0053,77.4,0.0,77.4,Proficient,0.1,2,0,[]
ALU-0054,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0056,108.75,0.0,108.75,Advanced,0.15,3,0,[]
ALU-0057,13.2,0.0,13.2,Developing,0.05,1,0,[]
ALU-0058,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0060,3.0,0.0,3.0,Beginner,0.05,1,0,[]
ALU-0061,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0062,21.6,0.0,21.6,Developing,0.05,1,0,[]
ALU-0064,19.8,0.0,19.8,Developing,0.05,1,0,[]
ALU-0065,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0068,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0069,4.0,0.0,4.0,Beginner,0.05,1,0,[]
ALU-0073,60.0,0.0,60.0,Proficient,0.15,1,0,[]
ALU-0075,13.2,0.0,13.2,Developing,0.05,1,0,[]
ALU-0076,10.8,0.0,10.8,Beginner,0.05,1,0,[]
ALU-0077,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0079,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0080,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0082,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0083,3.6,0.0,3.6,Beginner,0.05,1,0,[]
ALU-0085,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0086,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0087,24.0,0.0,24.0,Developing,0.05,1,0,[]
ALU-0090,1.8,0.0,1.8,Beginner,0.05,1,0,[]
ALU-0094,0.0,0.0,0.0,Beginner,0.0,0,0,[]
ALU-0096,5.4,0.0,5.4,Beginner,0.05,1,0,[]
ALU-0098,9.6,0.0,9.6,Beginner,0.1,2,0,[]
ALU-0099,26.1,0.0,26.1,Intermediate,0.1,2,0,[]
ALU-0100,6.0,18.0,24.0,Developing,0.25,1,1,[]
ALU-0101,0.0,0.0,0.0,Beginner,0.0,0,0,[]
