link_id,startup_id,founder_profile_id,founder_role,founder_title,ownership_band,is_primary_contact
FL00001,STA00001,STU-0112,CEO,Co-Founder & CEO,30–40%,yes
FL00002,STA00002,STU-0024,COO,Co-Founder & COO,20–25%,yes
FL00003,STA00002,STU-0052,CEO,Founder & CEO,20–25%,no
FL00004,STA00002,ALU-0042,CFO,Co-Founder & CFO,20–25%,no
FL00005,STA00002,ALU-0180,CPO,Co-Founder & CPO,30–40%,no
FL00006,STA00003,ALU-0001,CPO,Co-Founder & Head of Product,30–40%,yes
FL00007,STA00003,STU-0260,Lead Scientist,Co-Founder & Chief Scientist,40–50%,no
FL00008,STA00003,STU-0079,COO,Co-Founder & Head of Operations,15–20%,no
FL00009,STA00003,STU-0166,Head of Engineering,Co-Founder & Engineering Lead,10–15%,no
FL00010,STA00004,STU-0293,COO,Co-Founder & Head of Operations,15–20%,yes
FL00011,STA00004,ALU-0105,Lead Scientist,Co-Founder & Chief Scientist,10–15%,no
FL00012,STA00005,STU-0200,Head of Engineering,Co-Founder & Engineering Lead,25–30%,yes
FL00013,STA00006,STU-0215,CEO,Founder & CEO,20–25%,yes
FL00014,STA00007,STU-0069,CMO,Co-Founder & Head of Growth,10–15%,yes
FL00015,STA00007,STU-0140,CEO,Founder & CEO,30–40%,no
FL00016,STA00008,STU-0103,Lead Scientist,Co-Founder & Research Lead,20–25%,yes
FL00017,STA00008,STU-0115,CPO,Co-Founder & CPO,40–50%,no
FL00018,STA00008,ALU-0085,CTO,Founder & CTO,10–15%,no
FL00019,STA00008,ALU-0165,CMO,Co-Founder & Head of Growth,40–50%,no
FL00020,STA00009,STU-0156,Head of Engineering,Co-Founder & Engineering Lead,15–20%,yes
FL00021,STA00009,ALU-0120,COO,Co-Founder & Head of Operations,25–30%,no
FL00022,STA00009,STU-0262,Lead Scientist,Co-Founder & Research Lead,40–50%,no
FL00023,STA00009,STU-0146,CTO,Co-Founder & Head of Technology,40–50%,no
FL00024,STA00010,STU-0078,CTO,Co-Founder & CTO,25–30%,yes
FL00025,STA00010,STU-0110,Head of Engineering,Co-Founder & Engineering Lead,25–30%,no
FL00026,STA00010,ALU-0139,CMO,Co-Founder & Head of Growth,25–30%,no
