profile_id,competitions_participated,competitions_won,finalist_count,organizer_count,leadership_role_count,achievement_count,national_impact_count,regional_impact_count,campus_impact_count,portfolio_scale,ais_raw,ais_normalized,grit_raw,grit_normalized,success_score,success_prediction_label,risk_score,at_risk_label,review_flag
ALU-0002,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,1,4,0,needs_support
ALU-0003,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
ALU-0004,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,1,4,0,needs_support
ALU-0006,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,1,5,1,needs_support
ALU-0007,3,0,2,2,2,3,0,0,3,2.53,16.03,48.29,9.0,32.14,1,1,2,0,needs_support
ALU-0008,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0009,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,1,5,1,needs_support
ALU-0010,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,1,5,1,needs_support
ALU-0011,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0012,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0013,2,0,0,0,0,0,0,0,0,1.099,1.099,1.28,8.0,28.57,0,1,3,0,needs_support
ALU-0014,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0018,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0020,0,0,0,0,1,3,0,0,3,1.802,7.302,20.81,0.0,0.0,0,1,5,1,needs_support
ALU-0021,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0023,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,1,4,0,needs_support
ALU-0024,11,0,4,4,4,1,0,1,0,2.821,28.321,86.99,26.0,92.86,1,1,2,0,high_potential
ALU-0030,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,1,4,0,needs_support
ALU-0033,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,1,5,1,needs_support
ALU-0034,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0036,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,1,5,1,needs_support
ALU-0040,2,2,0,0,0,0,0,0,0,1.099,11.099,32.76,12.0,42.86,2,1,2,0,needs_support
ALU-0041,1,1,0,0,1,1,0,1,0,1.208,11.708,34.68,6.0,21.43,1,1,3,0,needs_support
ALU-0042,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,1,5,1,needs_support
ALU-0043,1,0,0,0,0,2,0,1,1,1.664,3.664,9.35,4.0,14.29,0,1,4,0,needs_support
ALU-0044,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0047,3,1,1,0,0,0,0,0,0,1.386,8.386,24.22,14.0,50.0,1,1,2,0,needs_support
ALU-0048,1,0,1,0,0,1,0,0,1,1.208,3.708,9.49,4.0,14.29,0,1,4,0,needs_support
ALU-0049,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,1,5,1,needs_support
ALU-0051,5,0,1,2,2,1,0,0,1,2.141,12.641,37.62,17.0,60.71,0,1,3,0,steady_builder
ALU-0052,0,0,0,0,0,2,0,1,1,1.208,3.208,7.92,0.0,0.0,0,1,5,1,needs_support
ALU-0053,2,1,1,0,0,1,0,1,0,1.525,10.025,29.38,10.0,35.71,1,1,2,0,needs_support
ALU-0054,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0056,3,2,1,0,0,2,1,0,1,2.15,17.65,53.39,13.0,46.43,2,1,2,0,needs_support
ALU-0057,1,0,1,0,1,1,0,1,0,1.208,8.708,25.24,4.0,14.29,0,1,4,0,needs_support
ALU-0058,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0060,1,0,0,1,1,1,1,0,0,1.208,8.208,23.66,4.0,14.29,0,1,4,0,needs_support
ALU-0061,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0062,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0064,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,1,4,0,needs_support
ALU-0065,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0068,0,0,0,0,0,2,0,0,2,1.318,2.318,5.12,0.0,0.0,0,1,5,1,needs_support
ALU-0069,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,1,4,0,needs_support
ALU-0073,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
ALU-0075,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,1,4,0,needs_support
ALU-0076,1,1,0,0,0,1,0,1,0,1.208,7.708,22.09,6.0,21.43,1,1,3,0,needs_support
ALU-0077,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0079,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0080,0,0,0,0,2,2,0,1,1,1.318,11.318,33.45,0.0,0.0,0,1,5,1,needs_support
ALU-0082,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,1,5,1,needs_support
ALU-0083,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0085,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,1,5,1,needs_support
ALU-0086,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,1,5,1,needs_support
ALU-0087,1,1,0,0,1,2,1,0,1,1.664,14.164,42.41,6.0,21.43,1,1,3,0,needs_support
ALU-0090,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0094,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,1,5,1,needs_support
ALU-0096,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0098,2,0,0,1,1,0,0,0,0,1.099,5.099,13.87,8.0,28.57,0,1,3,0,needs_support
ALU-0099,2,1,0,1,1,0,0,0,0,1.099,10.099,29.61,10.0,35.71,1,1,2,0,needs_support
ALU-0100,1,0,0,0,2,2,0,1,1,1.664,11.664,34.54,4.0,14.29,0,1,4,0,needs_support
ALU-0101,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,1,5,1,needs_support
ALU-0103,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,1,4,0,needs_support
ALU-0104,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,1,5,1,needs_support
ALU-0106,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0107,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
ALU-0111,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,0,needs_support
ALU-0114,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
ALU-0115,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0116,1,0,1,0,0,1,1,0,0,1.208,6.208,17.36,4.0,14.29,0,0,4,0,needs_support
ALU-0121,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
ALU-0122,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
ALU-0123,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0125,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
ALU-0127,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
ALU-0128,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
ALU-0129,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,0,needs_support
ALU-0130,4,1,2,0,0,1,0,0,1,1.971,11.471,33.93,18.0,64.29,1,1,2,0,steady_builder
ALU-0131,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,0,needs_support
ALU-0132,1,1,0,0,0,2,0,0,2,1.664,7.664,21.95,6.0,21.43,1,1,3,0,needs_support
ALU-0134,0,0,0,0,1,2,1,1,0,1.318,9.818,28.73,0.0,0.0,0,0,5,1,needs_support
ALU-0135,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,0,5,1,needs_support
ALU-0136,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
ALU-0139,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
ALU-0140,1,0,1,0,0,1,1,0,0,1.208,6.208,17.36,4.0,14.29,0,0,4,0,needs_support
ALU-0141,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,8.0,28.57,0,0,3,0,needs_support
