vocab_id,sector,phrase_type,phrase
VOC00001,HealthTech,problem,Rural patients travel 80+ km for specialist consultations.
VOC00002,HealthTech,problem,Paper-based health records cause critical diagnostic delays.
VOC00003,HealthTech,problem,60% of chronic disease patients miss follow-up appointments.
VOC00004,HealthTech,problem,Mental health support is inaccessible in Tier-2 cities.
VOC00005,HealthTech,solution,AI-powered triage chatbot triages patients before specialist consult.
VOC00006,HealthTech,solution,Unified digital health record accessible across providers.
VOC00007,HealthTech,solution,Automated follow-up reminders via WhatsApp and IVR.
VOC00008,HealthTech,solution,On-demand video therapy with licensed clinical psychologists.
VOC00009,HealthTech,customer,Primary healthcare centres in semi-urban districts.
VOC00010,HealthTech,customer,District hospitals seeking digital transformation.
VOC00011,HealthTech,customer,Corporate HR teams managing employee wellness.
VOC00012,HealthTech,customer,Health-insurance companies reducing claims via preventive care.
VOC00013,HealthTech,moat,Proprietary symptom-to-disease ML model trained on 2M Indian records.
VOC00014,HealthTech,moat,Exclusive partnerships with 40 district hospitals.
VOC00015,HealthTech,moat,WhatsApp-native UX requiring zero app download.
VOC00016,HealthTech,moat,ABDM-compliant data layer ensuring regulatory fit.
VOC00017,HealthTech,traction,"Serving 3,200 patients/month across 6 districts."
VOC00018,HealthTech,traction,Integrated with 14 PHCs; 91% patient satisfaction.
VOC00019,HealthTech,traction,₹6L MRR; 22% month-over-month growth.
VOC00020,HealthTech,technology,ABDM-compliant FHIR APIs
VOC00021,HealthTech,technology,CNN-based X-ray diagnostic model
VOC00022,HealthTech,technology,NLP symptom extraction
VOC00023,HealthTech,technology,Federated learning for privacy-preserving analytics
VOC00024,EdTech,problem,First-generation learners cannot afford quality JEE/NEET coaching.
VOC00025,EdTech,problem,College placement rates drop below 40% for non-metro engineering graduates.
VOC00026,EdTech,problem,Upskilling programmes have 70% dropout rates due to poor engagement.
VOC00027,EdTech,problem,School teachers lack tools to identify slow learners early.
VOC00028,EdTech,solution,Affordable live-cohort JEE prep with AI-adaptive mock tests.
VOC00029,EdTech,solution,Industry-linked micro-credential programmes with guaranteed interviews.
VOC00030,EdTech,solution,Gamified skill tracks with peer accountability pods.
VOC00031,EdTech,solution,AI-based learning-gap detector embedded in existing school LMS.
VOC00032,EdTech,customer,Class 11–12 students in Tier-2 and Tier-3 cities.
VOC00033,EdTech,customer,Engineering graduates seeking IT placements.
VOC00034,EdTech,customer,Working professionals upskilling for data science roles.
VOC00035,EdTech,customer,Government school teachers in rural districts.
VOC00036,EdTech,moat,Vernacular content library in 6 Indian languages.
VOC00037,EdTech,moat,"Placement-outcome data from 8,000 alumni powering job-match algorithm."
VOC00038,EdTech,moat,Partnerships with 120 companies for direct hiring.
VOC00039,EdTech,moat,Adaptive engine built on 4 years of proprietary learning-path data.
VOC00040,EdTech,traction,"4,500 active learners; 78% course completion rate."
VOC00041,EdTech,traction,180 placement partners; ₹3.2L MRR.
VOC00042,EdTech,traction,3 state government pilots covering 900 schools.
VOC00043,EdTech,technology,Adaptive learning engine
VOC00044,EdTech,technology,NLP-based doubt resolution
VOC00045,EdTech,technology,Video-compression for low-bandwidth delivery
VOC00046,EdTech,technology,Proctored online assessment
VOC00047,FinTech,problem,60% of MSMEs are rejected by formal credit channels due to thin credit files.
VOC00048,FinTech,problem,Gig workers have no access to micro-insurance products.
VOC00049,FinTech,problem,Rural households lose 20% of savings to informal money lenders.
