competition_id,profile_id,competition_name,competition_type,year,participation_role,result,team_size,theme
CMP00001,STU-0186,IIM Ahmedabad Eureka!,hackathon,2022,winner,Special Jury Prize,2,CleanTech & Sustainability
CMP00002,STU-0188,Anna University Innovation Challenge,ideathon,2019,winner,Special Jury Prize,2,Smart Cities & GovTech
CMP00003,ALU-0131,Anna University Innovation Challenge,startup_pitch,2021,participant,Shortlisted in top 50,5,CleanTech & Sustainability
CMP00004,ALU-0182,TOYCATHON,product_showcase,2024,finalist,Top 10 finalist,5,Women Empowerment & Social Impact
CMP00005,ALU-0184,TiE Entrepreneurial Challenge,design_sprint,2019,mentor_judge,Evaluated 30 teams as domain expert judge,0,Deep Tech & AI/ML
CMP00006,STU-0056,Microsoft Imagine Cup,innovation_challenge,2020,finalist,Top 5 finalist,3,Deep Tech & AI/ML
CMP00007,STU-0147,Anna University Innovation Challenge,product_showcase,2024,mentor_judge,Mentored 5 finalist teams,0,FinTech & Financial Inclusion
CMP00008,ALU-0041,NASSCOM 10K Startups,startup_pitch,2024,winner,Best Innovation Award,1,Healthcare & MedTech
CMP00009,STU-0173,National Entrepreneurship Challenge (IIT Bombay),product_showcase,2020,finalist,Top 10 finalist,4,EdTech & Skill Development
CMP00010,ALU-0140,Startup Tamil Nadu Ideathon,demo_day,2022,participant,Shortlisted in top 50,4,Healthcare & MedTech
CMP00011,ALU-0083,Smart India Hackathon,startup_pitch,2025,participant,Participated,5,AgriTech & Rural Development
CMP00012,STU-0255,CII Young Indians Innovation Challenge,ideathon,2021,participant,Participated,3,FinTech & Financial Inclusion
CMP00013,ALU-0014,NASSCOM 10K Startups,hackathon,2025,participant,Completed submission,1,CleanTech & Sustainability
CMP00014,ALU-0024,Kerala Startup Mission Demo Day,design_sprint,2021,mentor_judge,Mentored 5 finalist teams,0,Deep Tech & AI/ML
CMP00015,ALU-0051,India Innovation Challenge Design Contest,startup_pitch,2025,organizer,Organised successfully; 400+ participants,0,AgriTech & Rural Development
CMP00016,STU-0020,CII Young Indians Innovation Challenge,innovation_challenge,2024,participant,Shortlisted in top 50,2,AgriTech & Rural Development
CMP00017,ALU-0155,NASSCOM 10K Startups,hackathon,2021,winner,Special Jury Prize,1,Deep Tech & AI/ML
CMP00018,STU-0280,Kerala Startup Mission Demo Day,hackathon,2023,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech
CMP00019,STU-0021,TOYCATHON,ideathon,2019,finalist,National finalist,4,Cybersecurity
CMP00020,STU-0259,India Innovation Challenge Design Contest,ideathon,2020,participant,Completed submission,2,Healthcare & MedTech
CMP00021,STU-0104,Vernacular AI Hackathon by AI4Bharat,startup_pitch,2023,participant,Completed submission,5,FinTech & Financial Inclusion
CMP00022,STU-0126,Kerala Startup Mission Demo Day,hackathon,2021,participant,Participated,1,EdTech & Skill Development
CMP00023,STU-0205,NIDHI Prayas Demo Day,product_showcase,2023,finalist,National finalist,2,Smart Cities & GovTech
CMP00024,STU-0165,TOYCATHON,design_sprint,2022,winner,3rd Place,2,Cybersecurity
CMP00025,STU-0014,NASA Space Apps Challenge,hackathon,2025,participant,Participated,5,Cybersecurity
CMP00026,STU-0126,NASA Space Apps Challenge,ideathon,2024,participant,Participated,1,CleanTech & Sustainability
CMP00027,ALU-0004,NIDHI Prayas Demo Day,demo_day,2019,finalist,Top 5 finalist,1,FinTech & Financial Inclusion
CMP00028,ALU-0069,Anna University Innovation Challenge,demo_day,2024,organizer,Coordinated 3 tracks; 200 teams,0,EdTech & Skill Development
CMP00029,STU-0010,Microsoft Imagine Cup,ideathon,2024,participant,Participated,2,Smart Cities & GovTech
CMP00030,STU-0275,NASA Space Apps Challenge,startup_pitch,2025,participant,Shortlisted in top 50,3,FinTech & Financial Inclusion
CMP00031,ALU-0168,NIDHI Prayas Demo Day,product_showcase,2022,participant,Shortlisted in top 50,4,Deep Tech & AI/ML
CMP00032,STU-0116,Microsoft Imagine Cup,ideathon,2024,finalist,Top 10 finalist,1,FinTech & Financial Inclusion
CMP00033,ALU-0195,National Entrepreneurship Challenge (IIT Bombay),ideathon,2022,participant,Completed submission,2,Women Empowerment & Social Impact
CMP00034,STU-0030,Microsoft Imagine Cup,demo_day,2022,participant,Shortlisted in top 50,1,Deep Tech & AI/ML
CMP00035,STU-0268,Anna University Innovation Challenge,hackathon,2024,participant,Participated,5,Women Empowerment & Social Impact
CMP00036,ALU-0047,Vernacular AI Hackathon by AI4Bharat,design_sprint,2024,winner,2nd Place,5,EdTech & Skill Development
CMP00037,STU-0255,India Innovation Challenge Design Contest,startup_pitch,2024,participant,Completed submission,4,FinTech & Financial Inclusion
CMP00038,STU-0056,Smart India Hackathon,ideathon,2020,winner,Special Jury Prize,5,Cybersecurity
CMP00039,STU-0077,India Innovation Challenge Design Contest,startup_pitch,2020,organizer,Organised successfully; 400+ participants,0,Smart Cities & GovTech
CMP00040,ALU-0051,CII Young Indians Innovation Challenge,design_sprint,2024,mentor_judge,Evaluated 30 teams as domain expert judge,0,Deep Tech & AI/ML
CMP00041,STU-0081,Sequoia Surge Campus Pitch,demo_day,2025,participant,Participated,5,Cybersecurity
CMP00042,ALU-0158,Anna University Innovation Challenge,hackathon,2022,participant,Shortlisted in top 50,1,EdTech & Skill Development
CMP00043,STU-0017,BIRAC BIG Grant Pitching Forum,hackathon,2025,participant,Participated,1,Women Empowerment & Social Impact
CMP00044,STU-0058,BIRAC BIG Grant Pitching Forum,innovation_challenge,2024,mentor_judge,Mentored 5 finalist teams,0,Cybersecurity
CMP00045,STU-0056,CII Young Indians Innovation Challenge,product_showcase,2022,mentor_judge,Mentored 5 finalist teams,0,Smart Cities & GovTech
CMP00046,ALU-0185,IIT Madras Shaastra Hackathon,ideathon,2022,finalist,National finalist,1,EdTech & Skill Development
CMP00047,STU-0003,Anna University Innovation Challenge,startup_pitch,2025,winner,2nd Place,3,Logistics & Supply Chain
CMP00048,STU-0109,TOYCATHON,innovation_challenge,2022,finalist,National finalist,2,Deep Tech & AI/ML
CMP00049,STU-0201,TiE Entrepreneurial Challenge,hackathon,2025,participant,Completed submission,4,AgriTech & Rural Development
CMP00050,ALU-0047,Google Solution Challenge,product_showcase,2022,finalist,Top 10 finalist,1,Women Empowerment & Social Impact
CMP00051,ALU-0169,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2020,participant,Shortlisted in top 50,4,Healthcare & MedTech
CMP00052,STU-0053,T-Hub LabStart Cohort,product_showcase,2023,finalist,Top 10 finalist,4,Logistics & Supply Chain
CMP00053,STU-0178,Microsoft Imagine Cup,hackathon,2022,winner,2nd Place,5,Women Empowerment & Social Impact
CMP00054,ALU-0129,Kerala Startup Mission Demo Day,ideathon,2025,organizer,Coordinated 3 tracks; 200 teams,0,AgriTech & Rural Development
CMP00055,ALU-0002,Sequoia Surge Campus Pitch,product_showcase,2020,participant,Shortlisted in top 50,2,Deep Tech & AI/ML
CMP00056,STU-0115,IIM Ahmedabad Eureka!,product_showcase,2024,finalist,National finalist,5,Smart Cities & GovTech
CMP00057,STU-0223,TiE Entrepreneurial Challenge,innovation_challenge,2023,winner,Special Jury Prize,3,Smart Cities & GovTech
CMP00058,STU-0183,Vernacular AI Hackathon by AI4Bharat,design_sprint,2024,organizer,Organised successfully; 400+ participants,0,Smart Cities & GovTech
CMP00059,ALU-0130,India Innovation Challenge Design Contest,design_sprint,2023,winner,3rd Place,4,Logistics & Supply Chain
CMP00060,STU-0014,Vernacular AI Hackathon by AI4Bharat,hackathon,2019,participant,Shortlisted in top 50,4,FinTech & Financial Inclusion
CMP00061,STU-0205,NIDHI Prayas Demo Day,product_showcase,2025,participant,Participated,2,CleanTech & Sustainability
CMP00062,STU-0064,IIM Ahmedabad Eureka!,innovation_challenge,2025,finalist,Top 10 finalist,5,Healthcare & MedTech
CMP00063,STU-0105,Kerala Startup Mission Demo Day,product_showcase,2024,participant,Shortlisted in top 50,5,AgriTech & Rural Development
CMP00064,ALU-0099,CII Young Indians Innovation Challenge,design_sprint,2025,winner,Special Jury Prize,3,Healthcare & MedTech
CMP00065,ALU-0127,Anna University Innovation Challenge,design_sprint,2019,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech
CMP00066,ALU-0154,CII Young Indians Innovation Challenge,ideathon,2024,winner,2nd Place,3,Women Empowerment & Social Impact
CMP00067,STU-0202,TiE Entrepreneurial Challenge,startup_pitch,2022,finalist,National finalist,2,EdTech & Skill Development
CMP00068,STU-0053,Google Solution Challenge,demo_day,2019,participant,Participated,4,CleanTech & Sustainability
CMP00069,STU-0165,National Entrepreneurship Challenge (IIT Bombay),product_showcase,2021,finalist,Top 10 finalist,1,Smart Cities & GovTech
CMP00070,STU-0041,Microsoft Imagine Cup,startup_pitch,2023,finalist,Top 10 finalist,1,Women Empowerment & Social Impact
CMP00071,STU-0141,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2021,winner,3rd Place,1,Smart Cities & GovTech
CMP00072,ALU-0056,NASA Space Apps Challenge,product_showcase,2023,finalist,Top 10 finalist,2,Deep Tech & AI/ML
CMP00073,STU-0095,IIT Madras Shaastra Hackathon,innovation_challenge,2020,finalist,Top 5 finalist,3,Smart Cities & GovTech
CMP00074,STU-0126,India Innovation Challenge Design Contest,design_sprint,2025,participant,Participated,1,EdTech & Skill Development
CMP00075,STU-0247,Kerala Startup Mission Demo Day,design_sprint,2020,finalist,Top 5 finalist,1,Smart Cities & GovTech
CMP00076,ALU-0096,NIDHI Prayas Demo Day,design_sprint,2024,participant,Participated,3,Healthcare & MedTech
CMP00077,STU-0053,Vernacular AI Hackathon by AI4Bharat,demo_day,2022,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech
CMP00078,STU-0198,Anna University Innovation Challenge,design_sprint,2019,participant,Completed submission,1,FinTech & Financial Inclusion
CMP00079,STU-0068,TiE Entrepreneurial Challenge,ideathon,2024,mentor_judge,Evaluated 30 teams as domain expert judge,0,AgriTech & Rural Development
CMP00080,STU-0107,TiE Entrepreneurial Challenge,design_sprint,2025,organizer,Coordinated 3 tracks; 200 teams,0,Deep Tech & AI/ML
CMP00081,STU-0158,Smart India Hackathon,demo_day,2024,finalist,Top 10 finalist,3,Healthcare & MedTech
CMP00082,STU-0183,NIDHI Prayas Demo Day,design_sprint,2019,participant,Participated,5,AgriTech & Rural Development
CMP00083,ALU-0098,Sequoia Surge Campus Pitch,ideathon,2022,organizer,Coordinated 3 tracks; 200 teams,0,Deep Tech & AI/ML
CMP00084,STU-0122,BIRAC BIG Grant Pitching Forum,hackathon,2024,participant,Shortlisted in top 50,5,EdTech & Skill Development
CMP00085,STU-0047,NASA Space Apps Challenge,startup_pitch,2023,winner,Special Jury Prize,1,CleanTech & Sustainability
CMP00086,STU-0089,IIM Ahmedabad Eureka!,product_showcase,2022,winner,3rd Place,4,Deep Tech & AI/ML
CMP00087,ALU-0186,NASSCOM 10K Startups,design_sprint,2020,winner,1st Place,2,Deep Tech & AI/ML
CMP00088,ALU-0003,Microsoft Imagine Cup,startup_pitch,2024,winner,Special Jury Prize,3,Healthcare & MedTech
CMP00089,STU-0145,Google Solution Challenge,hackathon,2019,finalist,National finalist,5,Women Empowerment & Social Impact
CMP00090,STU-0088,IIM Ahmedabad Eureka!,innovation_challenge,2024,participant,Completed submission,3,AgriTech & Rural Development
CMP00091,STU-0115,Microsoft Imagine Cup,innovation_challenge,2020,participant,Completed submission,2,Women Empowerment & Social Impact
CMP00092,STU-0118,NASSCOM 10K Startups,ideathon,2025,winner,2nd Place,5,Healthcare & MedTech
CMP00093,STU-0141,NASA Space Apps Challenge,startup_pitch,2024,organizer,Coordinated 3 tracks; 200 teams,0,EdTech & Skill Development
CMP00094,ALU-0199,Anna University Innovation Challenge,startup_pitch,2020,participant,Participated,2,EdTech & Skill Development
CMP00095,STU-0199,Anna University Innovation Challenge,demo_day,2022,participant,Participated,3,Women Empowerment & Social Impact
CMP00096,STU-0157,National Entrepreneurship Challenge (IIT Bombay),design_sprint,2021,finalist,National finalist,3,Deep Tech & AI/ML
CMP00097,STU-0253,CII Young Indians Innovation Challenge,ideathon,2024,participant,Shortlisted in top 50,4,CleanTech & Sustainability
CMP00098,ALU-0040,India Innovation Challenge Design Contest,demo_day,2022,winner,2nd Place,3,CleanTech & Sustainability
CMP00099,STU-0180,Kerala Startup Mission Demo Day,hackathon,2025,finalist,Top 10 finalist,3,FinTech & Financial Inclusion
CMP00100,STU-0270,NASA Space Apps Challenge,ideathon,2019,organizer,Organised successfully; 400+ participants,0,Healthcare & MedTech
CMP00101,ALU-0115,National Entrepreneurship Challenge (IIT Bombay),innovation_challenge,2019,winner,1st Place,5,CleanTech & Sustainability
CMP00102,ALU-0184,Microsoft Imagine Cup,startup_pitch,2022,finalist,National finalist,2,Women Empowerment & Social Impact
CMP00103,STU-0138,Sequoia Surge Campus Pitch,design_sprint,2023,winner,3rd Place,1,Deep Tech & AI/ML
CMP00104,STU-0245,Kerala Startup Mission Demo Day,ideathon,2020,participant,Participated,5,FinTech & Financial Inclusion
