startup_id,startup_name,sector,subsector,funding_stage,trl_level,founded_year,hq_city,team_size,pitch_summary,problem_statement,solution_summary,traction_signal,founder_count
STA00001,Choudhury Labs,CyberSecurity,Zero Trust,pre-seed,2,2025,Bengaluru,7,Medical imaging diagnosis queues in public hospitals average 11 days. Waste-to-compost and RDF platform connecting municipalities with cement plants. WhatsApp-native UX requiring zero app download.,EV charging deserts exist across National Highway corridors.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,MVP in development; 15 design-partner interviews completed.,1
STA00002,Bakshi Platforms,EdTech,Skill Development,seed,4,2024,Chennai,29,School teachers lack tools to identify slow learners early. Affordable live-cohort JEE prep with AI-adaptive mock tests. Adaptive engine built on 4 years of proprietary learning-path data.,First-generation learners cannot afford quality JEE/NEET coaching.,Gamified skill tracks with peer accountability pods.,120 beta users; NPS score 68; waitlist of 400.,4
STA00003,Maharaj AI,HRTech,Upskilling,bootstrapped,6,2022,Kochi,30,60% of MSMEs are rejected by formal credit channels due to thin credit files. Edge-deployed computer vision model for zero-defect PCB and textile inspection. Co-lending partnership with 2 scheduled commercial banks.,Mental health support is inaccessible in Tier-2 cities.,Pay-per-use micro-insurance embedded at point of gig-work assignment.,Founder-funded through consulting revenue; now product-led.,4
STA00004,Konda Tech,HealthTech,Wearables,grant,3,2024,Mumbai,2,Rural patients travel 80+ km for specialist consultations. Automated follow-up reminders via WhatsApp and IVR. Proprietary symptom-to-disease ML model trained on 2M Indian records.,Paper-based health records cause critical diagnostic delays.,Automated follow-up reminders via WhatsApp and IVR.,AIM-iCREATE grant; product under regulatory review.,2
STA00005,Kapoor Solutions,GovTech,e-Governance,pre-seed,3,2025,Hyderabad,5,Post-harvest losses exceed 25% in perishable supply chains. IoT-enabled cold-chain monitoring with real-time temperature alerts. Partnerships with 120 companies for direct hiring.,Smallholder farmers receive 30% of consumer price for produce.,Unified digital health record accessible across providers.,Concept validated with 30 potential users via surveys.,1
STA00006,Dewan AI,GovTech,Tax Tech,pre-seed,3,2025,Jaipur,2,"Indian-language voice interfaces fail below 70% accuracy on regional dialects. AI-based learning-gap detector embedded in existing school LMS. Ground-truth crop-disease dataset from 12,000 farm visits.",Mental health support is inaccessible in Tier-2 cities.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,Concept validated with 30 potential users via surveys.,1
STA00007,Chaudry Solutions,GovTech,Digital Identity,seed,3,2024,Delhi,15,College placement rates drop below 40% for non-metro engineering graduates. Warehouse receipt financing using stored grain as collateral. Proprietary RDF quality-certification accepted by 4 cement majors.,"Predictive maintenance alerts arrive after failure, not before.",Pay-per-use micro-insurance embedded at point of gig-work assignment.,50 paying customers; ₹3L MRR growing 15% month-over-month.,2
STA00008,Chahal Systems,FinTech,Insurance Tech,bootstrapped,4,2023,Coimbatore,31,Gig workers have no access to micro-insurance products. NBFC-backed savings and credit product distributed via SHGs. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.,60% of MSMEs are rejected by formal credit channels due to thin credit files.,Automated invoice discounting platform integrated with Tally and Zoho Books.,Profitable from month 8; ₹1.2Cr ARR; zero external funding.,4
STA00009,Sami Labs,CyberSecurity,SOC Automation,seed,5,2024,Mumbai,19,Indian-language voice interfaces fail below 70% accuracy on regional dialects. FPO-linked direct market platform eliminating 3 layers of commission agents. Patented dialect normalisation layer improving WER by 34%.,Medical imaging diagnosis queues in public hospitals average 11 days.,Industry-linked micro-credential programmes with guaranteed interviews.,120 beta users; NPS score 68; waitlist of 400.,4
STA00010,Balay Solutions,CleanTech,Waste Management,series-a,7,2024,Pune,20,Commercial rooftops capture less than 8% of viable solar potential. Modular fast-charging hubs deployed at highway dhabas via franchise model. Proprietary RDF quality-certification accepted by 4 cement majors.,EV charging deserts exist across National Highway corridors.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,₹5Cr ARR; DPIIT-recognised startup; international pilots live.,4
STA00011,Balan Ventures,FinTech,Payments,pre-seed,1,2026,Coimbatore,7,"Gig workers have no access to micro-insurance products. Alternative credit scoring using GST, UPI, and utility payment history. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.",60% of MSMEs are rejected by formal credit channels due to thin credit files.,NBFC-backed savings and credit product distributed via SHGs.,MVP in development; 15 design-partner interviews completed.,3
STA00012,Chander Innovations,AgriTech,Market Linkage,grant,5,2025,Delhi,3,Post-harvest losses exceed 25% in perishable supply chains. Satellite and drone imagery with ML pest-detection alerting farmers 10 days early. Soil health card integration via government API.,Agricultural credit is unavailable without land-title collateral.,Warehouse receipt financing using stored grain as collateral.,TIDE 2.0 cohort member; 6-month pilot with state government.,2
