profile_id,firm_name,mandate_text,sector_focus,stage_preference,check_size_inr,expertise_tags
INV00001,"Mohanty, Salvi and Narula",Deep operational experience in FinTech. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,FinTech|CleanTech,advisory_sessions,2500000,Venture Capital|Deep Tech|Community Building|OKR Frameworks
INV00002,"Bobal, Sodhi and Hayer",Supporting E-Commerce founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,E-Commerce|GovTech,warm_intro,5000000,Lean Startup|Team Building|Hardware|Regulatory Affairs
INV00003,Oommen Group,Passionate about EdTech and the intersection of AI with traditional industries. Happy to co-invest at seed stage.,EdTech|LogisticsTech,advisory_sessions,2500000,OKR Frameworks|B2B Sales|Fundraising|Hardware
INV00004,"Goel, Munshi and Bhardwaj",Supporting HRTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,HRTech|LegalTech,advisory_sessions,2500000,Lean Startup|OKR Frameworks|ESG|Clinical Trials
INV00005,Dayal PLC,Deep operational experience in LegalTech. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,LegalTech|LogisticsTech,advisory_sessions,1000000,Deep Tech|Impact Investing|Developer Tools|Product Strategy
INV00006,Walla and Sons,Supporting BioTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,BioTech|CyberSecurity,warm_intro,5000000,Impact Investing|Leadership Coaching|Fundraising|B2B Sales
INV00007,"Kothari, Kara and Padmanabhan",Supporting SpaceTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,SpaceTech|LogisticsTech,advisory_sessions,1000000,Marketing|Financial Modelling|International Expansion|B2B Sales
INV00008,Bhattacharyya Inc,"Sector-agnostic but deeply interested in GovTech and E-Commerce. Looking for missionaries, not mercenaries.",GovTech|E-Commerce,warm_intro,500000,Lean Startup|Leadership Coaching|Angel Investing|OKR Frameworks
INV00009,Guha-Gala,Passionate about DeepTech and the intersection of AI with traditional industries. Happy to co-invest at seed stage.,DeepTech|CyberSecurity,office_hours,0,ESG|Product Strategy|Leadership Coaching|Go-to-Market
INV00010,Thaman and Sons,Investing in RetailTech companies solving real-world problems in India and Southeast Asia. Cheque size ₹100L.,RetailTech|AgriTech,warm_intro,10000000,Leadership Coaching|Open Source|Brand Building|Clinical Trials
INV00011,"Bava, Bava and Chokshi",Supporting SaaS founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,SaaS|EdTech,async_review,5000000,Product Strategy|Venture Capital|Go-to-Market|Fundraising
INV00012,"Krishnan, Som and Dua",Deep operational experience in AgriTech. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,AgriTech|ManufacturingTech,async_review,10000000,Go-to-Market|Venture Capital|Deep Tech|Enterprise SaaS
INV00013,Devan-Sahota,Supporting AgriTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,AgriTech|DeepTech,advisory_sessions,0,Financial Modelling|Supply Chain|Open Source|Leadership Coaching
INV00014,"Iyengar, Lall and Virk",Focused on LogisticsTech and SpaceTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,LogisticsTech|SpaceTech,office_hours,1000000,Design Thinking|Leadership Coaching|OKR Frameworks|Marketing
INV00015,Srivastava LLC,Investing in LogisticsTech companies solving real-world problems in India and Southeast Asia. Cheque size ₹250L.,LogisticsTech|EdTech,async_review,25000000,Enterprise SaaS|Marketing|Fundraising|Financial Modelling
INV00016,Vaidya Inc,Supporting GovTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,GovTech|FinTech,advisory_sessions,500000,Community Building|Regulatory Affairs|Venture Capital|Enterprise SaaS
INV00017,Chaudhry and Sons,Supporting AgriTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,AgriTech|CleanTech,office_hours,5000000,ESG|OKR Frameworks|Developer Tools|Regulatory Affairs
INV00018,Devi Ltd,Investing in GovTech companies solving real-world problems in India and Southeast Asia. Cheque size ₹100L.,GovTech|LogisticsTech,advisory_sessions,10000000,B2B Sales|Fundraising|Go-to-Market|Angel Investing
INV00019,Oommen-Goswami,Passionate about HealthTech and the intersection of AI with traditional industries. Happy to co-invest at seed stage.,HealthTech|LegalTech,warm_intro,10000000,Deep Tech|Team Building|Product Strategy|Fundraising
INV00020,Sama-Ganesan,Deep operational experience in CleanTech. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,CleanTech|CyberSecurity,advisory_sessions,10000000,Enterprise SaaS|Angel Investing|Product Strategy|Impact Investing
INV00021,Sarma-Golla,Looking to back early-stage LegalTech startups with strong technical founders and a clear path to $1M ARR.,LegalTech|SpaceTech,async_review,25000000,Enterprise SaaS|Lean Startup|OKR Frameworks|International Expansion
INV00022,Sastry-Batra,"Sector-agnostic but deeply interested in HealthTech and BioTech. Looking for missionaries, not mercenaries.",HealthTech|BioTech,warm_intro,5000000,Design Thinking|OKR Frameworks|Community Building|B2B Sales
INV00023,Venkataraman-Virk,"Sector-agnostic but deeply interested in CyberSecurity and HRTech. Looking for missionaries, not mercenaries.",CyberSecurity|HRTech,warm_intro,1000000,Enterprise SaaS|Fundraising|Team Building|Go-to-Market
INV00024,"Rajan, Dixit and Bhagat","Sector-agnostic but deeply interested in FinTech and GovTech. Looking for missionaries, not mercenaries.",FinTech|GovTech,office_hours,500000,OKR Frameworks|Supply Chain|Team Building|Regulatory Affairs
INV00025,Nagi-Khosla,Supporting BioTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,BioTech|SaaS,warm_intro,10000000,Supply Chain|Design Thinking|Enterprise SaaS|B2B Sales
INV00026,Sharaf Group,Looking to back early-stage LegalTech startups with strong technical founders and a clear path to $1M ARR.,LegalTech|FinTech,async_review,500000,Team Building|Open Source|Lean Startup|Regulatory Affairs
INV00027,"Badami, Chauhan and Raval",Supporting HealthTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,HealthTech|E-Commerce,warm_intro,5000000,Community Building|Enterprise SaaS|Go-to-Market|International Expansion
INV00028,Shan LLC,Looking to back early-stage LegalTech startups with strong technical founders and a clear path to $1M ARR.,LegalTech|GovTech,advisory_sessions,10000000,Product Strategy|Fundraising|Marketing|International Expansion
INV00029,"Solanki, Patla and Sethi",Supporting AgriTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,AgriTech|SaaS,async_review,2500000,International Expansion|Team Building|Leadership Coaching|Impact Investing
INV00030,Vig-Prakash,Looking to back early-stage E-Commerce startups with strong technical founders and a clear path to $1M ARR.,E-Commerce|FinTech,advisory_sessions,10000000,Fundraising|Lean Startup|Deep Tech|Community Building
INV00031,"Rout, Chhabra and Kumar",Supporting EdTech founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,EdTech|E-Commerce,office_hours,500000,Design Thinking|Team Building|Deep Tech|Product Strategy
INV00032,"Nigam, Chokshi and Sachdeva",Deep operational experience in HRTech. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,HRTech|AgriTech,office_hours,0,Open Source|Venture Capital|Hardware|Angel Investing
INV00033,Wali Ltd,Focused on AgriTech and LegalTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,AgriTech|LegalTech,advisory_sessions,25000000,Venture Capital|International Expansion|Clinical Trials|Go-to-Market
INV00034,Nagy-Thaman,Focused on CyberSecurity and BioTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,CyberSecurity|BioTech,warm_intro,5000000,Marketing|B2B Sales|Leadership Coaching|Angel Investing
INV00035,Devi Group,Investing in SaaS companies solving real-world problems in India and Southeast Asia. Cheque size ₹10L.,SaaS|EdTech,async_review,0,Angel Investing|Hardware|Marketing|Go-to-Market
INV00036,Deo-Gokhale,Focused on SpaceTech and DeepTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,SpaceTech|DeepTech,office_hours,2500000,Design Thinking|Brand Building|ESG|Hardware
INV00037,"Mangal, Sami and Arya",Focused on CleanTech and AgriTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,CleanTech|AgriTech,office_hours,25000000,International Expansion|Team Building|Venture Capital|Enterprise SaaS
INV00038,Dyal-Mangat,"Sector-agnostic but deeply interested in LegalTech and FinTech. Looking for missionaries, not mercenaries.",LegalTech|FinTech,warm_intro,10000000,Product Strategy|Hardware|Go-to-Market|Design Thinking
INV00039,Chaudry-Kapur,"Sector-agnostic but deeply interested in SpaceTech and LegalTech. Looking for missionaries, not mercenaries.",SpaceTech|LegalTech,advisory_sessions,1000000,Design Thinking|Deep Tech|Regulatory Affairs|Team Building
INV00040,"Munshi, Bhagat and Arya",Focused on SpaceTech and E-Commerce opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,SpaceTech|E-Commerce,advisory_sessions,5000000,Hardware|Venture Capital|Design Thinking|Fundraising
INV00041,Menon Group,Focused on FinTech and HRTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,FinTech|HRTech,office_hours,500000,Brand Building|Developer Tools|Product Strategy|ESG
INV00042,Sangha LLC,Focused on RetailTech and AgriTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,RetailTech|AgriTech,advisory_sessions,5000000,Venture Capital|Brand Building|OKR Frameworks|ESG
INV00043,Baral and Sons,Supporting SaaS founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,SaaS|LogisticsTech,advisory_sessions,500000,Fundraising|Regulatory Affairs|B2B Sales|International Expansion
INV00044,Vora-Kannan,Investing in LegalTech companies solving real-world problems in India and Southeast Asia. Cheque size ₹10L.,LegalTech|DeepTech,async_review,1000000,Hardware|Leadership Coaching|Fundraising|Team Building
INV00045,Palla and Sons,Looking to back early-stage SpaceTech startups with strong technical founders and a clear path to $1M ARR.,SpaceTech|LogisticsTech,office_hours,2500000,Marketing|Venture Capital|International Expansion|OKR Frameworks
INV00046,Andra-Contractor,Looking to back early-stage EdTech startups with strong technical founders and a clear path to $1M ARR.,EdTech|DeepTech,office_hours,5000000,Hardware|International Expansion|Product Strategy|Community Building
INV00047,Raju LLC,Supporting E-Commerce founders building for Bharat. Prefer B2B SaaS models with strong unit economics from day one.,E-Commerce|GovTech,warm_intro,10000000,Angel Investing|Marketing|Developer Tools|Regulatory Affairs
INV00048,Minhas Ltd,Deep operational experience in E-Commerce. Happy to mentor or invest at the pre-seed stage; focus is on team quality.,E-Commerce|AgriTech,async_review,2500000,Marketing|Clinical Trials|B2B Sales|Lean Startup
INV00049,"Amble, Bhatti and Kade",Focused on BioTech and E-Commerce opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,BioTech|E-Commerce,async_review,2500000,Go-to-Market|Community Building|Angel Investing|Fundraising
INV00050,"Dube, Bajwa and Sharaf",Focused on GovTech and DeepTech opportunities at the pre-seed and seed stage. Prefer founding teams with domain expertise.,GovTech|DeepTech,warm_intro,10000000,Enterprise SaaS|Brand Building|Deep Tech|Open Source
