edge_id,source_profile_id,target_profile_id,edge_type,relationship_strength,interaction_count,first_interaction_context,last_interaction_context,created_at
EDG000001,ALU-0058,CLB-0014,club_membership,weak,2,Core team member of startup incubation cell,Joined AI/ML reading group,2020-02-23
EDG000002,MEN-0063,STU-0184,mentor_mentee,strong,25,Demo day preparation workshop,Technical architecture review,2025-01-05
EDG000003,MEN-0099,STU-0041,mentor_mentee,medium,9,Technical architecture review,Demo day preparation workshop,2019-10-12
EDG000004,MEN-0080,ALU-0056,mentor_mentee,strong,14,Technical architecture review,Intro call via incubation cell referral,2023-04-06
EDG000005,MEN-0092,ALU-0056,mentor_mentee,medium,5,Demo day preparation workshop,Mock investor pitch review session,2021-12-29
EDG000006,ALU-0050,CLB-0003,club_membership,weak,2,Became lead of coding club,Active contributor in design thinking cell,2022-01-10
EDG000007,ALU-0028,CLB-0018,club_membership,strong,12,Active contributor in design thinking cell,Core team member of startup incubation cell,2021-07-27
EDG000008,STU-0280,CLB-0011,club_membership,weak,3,Mentorship pod member in innovation hub,Joined AI/ML reading group,2022-07-12
EDG000009,MEN-0092,STU-0203,mentor_mentee,weak,1,Grant application guidance session,Mock investor pitch review session,2025-04-18
EDG000010,INV-0049,ALU-0030,investor_founder,medium,5,Co-investor introduction at startup event,Initial screening call via platform match,2024-09-18
EDG000011,INV-0007,STU-0058,investor_founder,medium,10,Warm intro via alumni network,Post-demo-day follow-up meeting,2023-09-26
EDG000012,INV-0050,ALU-0018,investor_founder,medium,8,Co-investor introduction at startup event,Initial screening call via platform match,2019-02-17
EDG000013,INV-0015,ALU-0095,investor_founder,weak,3,Co-investor introduction at startup event,Portfolio company referral meeting,2022-10-25
EDG000014,MEN-0065,STU-0081,mentor_mentee,strong,19,Grant application guidance session,Weekly 1:1 session on product strategy,2024-08-12
EDG000015,STU-0260,CLB-0004,club_membership,weak,1,Joined AI/ML reading group,Active contributor in design thinking cell,2025-01-18
EDG000016,STU-0272,CLB-0001,club_membership,weak,2,Core team member of startup incubation cell,Volunteer organiser for hackathon chapter,2022-06-13
EDG000017,MEN-0081,STU-0291,mentor_mentee,medium,10,Intro call via incubation cell referral,Intro call via incubation cell referral,2019-10-11
EDG000018,STU-0273,CLB-0005,club_membership,strong,16,Became lead of coding club,Volunteer organiser for hackathon chapter,2021-12-21
EDG000019,INV-0018,ALU-0029,investor_founder,strong,17,Post-demo-day follow-up meeting,Co-investor introduction at startup event,2022-06-30
EDG000020,MEN-0065,ALU-0033,mentor_mentee,strong,25,Demo day preparation workshop,Grant application guidance session,2020-05-10
EDG000021,MEN-0059,STU-0174,mentor_mentee,medium,4,Weekly 1:1 session on product strategy,Resume and career path advisory,2019-10-18
EDG000022,STU-0031,CLB-0008,club_membership,strong,13,Enrolled in IEEE technical chapter,Joined entrepreneurship club as core member,2024-10-06
EDG000023,MEN-0065,STU-0249,mentor_mentee,medium,8,Resume and career path advisory,Mock investor pitch review session,2025-06-18
EDG000024,INV-0029,ALU-0024,investor_founder,weak,3,Initial screening call via platform match,Post-demo-day follow-up meeting,2023-11-01
EDG000025,MEN-0095,STU-0240,mentor_mentee,weak,3,Weekly 1:1 session on product strategy,Intro call via incubation cell referral,2022-10-21
EDG000026,STU-0056,CLB-0008,club_membership,medium,5,Active contributor in design thinking cell,Active contributor in design thinking cell,2023-09-25
EDG000027,MEN-0085,STU-0128,mentor_mentee,strong,28,Intro call via incubation cell referral,Grant application guidance session,2020-02-06
EDG000028,MEN-0092,ALU-0060,mentor_mentee,strong,18,Weekly 1:1 session on product strategy,Intro call via incubation cell referral,2020-11-12
EDG000029,INV-0038,STU-0055,investor_founder,strong,16,Portfolio company referral meeting,Initial screening call via platform match,2023-04-02
EDG000030,MEN-0100,STU-0136,mentor_mentee,medium,9,Grant application guidance session,Technical architecture review,2025-03-26
EDG000031,INV-0018,STU-0040,investor_founder,weak,1,Post-demo-day follow-up meeting,Due diligence call on seed round,2025-06-30
EDG000032,STU-0032,CLB-0011,club_membership,medium,8,Joined entrepreneurship club as core member,Joined entrepreneurship club as core member,2024-12-15
EDG000033,MEN-0085,STU-0042,mentor_mentee,medium,9,Mock investor pitch review session,Intro call via incubation cell referral,2021-08-21
EDG000034,INV-0018,STU-0064,investor_founder,weak,1,Co-investor introduction at startup event,Co-investor introduction at startup event,2023-09-14
EDG000035,INV-0018,ALU-0054,investor_founder,weak,3,Due diligence call on seed round,Due diligence call on seed round,2022-07-10
EDG000036,MEN-0096,STU-0068,mentor_mentee,medium,10,Technical architecture review,Grant application guidance session,2019-10-25
EDG000037,MEN-0065,STU-0289,mentor_mentee,medium,8,Intro call via incubation cell referral,Intro call via incubation cell referral,2021-12-22
EDG000038,MEN-0095,STU-0036,mentor_mentee,weak,2,Resume and career path advisory,Demo day preparation workshop,2025-02-03
EDG000039,ALU-0014,CLB-0017,club_membership,strong,14,Joined entrepreneurship club as core member,Joined AI/ML reading group,2020-07-04
EDG000040,MEN-0064,ALU-0060,mentor_mentee,weak,1,Mock investor pitch review session,Technical architecture review,2022-11-05
EDG000041,MEN-0092,STU-0136,mentor_mentee,strong,12,Grant application guidance session,Technical architecture review,2020-01-14
EDG000042,INV-0036,STU-0012,investor_founder,strong,19,Warm intro via alumni network,Due diligence call on seed round,2020-10-23
EDG000043,STU-0283,CLB-0014,club_membership,weak,3,Joined entrepreneurship club as core member,Enrolled in IEEE technical chapter,2020-09-02
EDG000044,INV-0048,ALU-0070,investor_founder,medium,4,Co-investor introduction at startup event,Post-demo-day follow-up meeting,2022-06-16
EDG000045,MEN-0056,STU-0184,mentor_mentee,medium,6,Resume and career path advisory,Resume and career path advisory,2025-04-12
EDG000046,STU-0209,CLB-0020,club_membership,strong,16,Became lead of coding club,Active contributor in design thinking cell,2023-08-16
EDG000047,MEN-0095,STU-0171,mentor_mentee,weak,3,Monthly check-in on startup metrics,Resume and career path advisory,2020-03-18
EDG000048,MEN-0055,STU-0241,mentor_mentee,strong,25,Resume and career path advisory,Resume and career path advisory,2022-12-03
EDG000049,MEN-0080,STU-0115,mentor_mentee,medium,6,Weekly 1:1 session on product strategy,Resume and career path advisory,2019-10-12
EDG000050,STU-0143,CLB-0012,club_membership,strong,14,Mentorship pod member in innovation hub,Core team member of startup incubation cell,2021-12-05
EDG000051,MEN-0084,STU-0020,mentor_mentee,medium,10,Intro call via incubation cell referral,Monthly check-in on startup metrics,2022-07-08
EDG000052,INV-0029,STU-0030,investor_founder,weak,1,Initial screening call via platform match,Co-investor introduction at startup event,2023-11-22
EDG000053,MEN-0096,STU-0013,mentor_mentee,medium,9,Resume and career path advisory,Demo day preparation workshop,2022-09-14
EDG000054,INV-0049,ALU-0056,investor_founder,strong,27,Warm intro via alumni network,Term sheet discussion meeting,2022-06-20
EDG000055,INV-0042,ALU-0024,investor_founder,medium,5,Term sheet discussion meeting,Due diligence call on seed round,2023-09-19
EDG000056,INV-0049,ALU-0094,investor_founder,medium,6,Term sheet discussion meeting,Post-demo-day follow-up meeting,2023-07-22
EDG000057,INV-0001,STU-0078,investor_founder,medium,8,Due diligence call on seed round,Post-demo-day follow-up meeting,2025-10-20
EDG000058,INV-0049,ALU-0034,investor_founder,weak,2,Initial screening call via platform match,Term sheet discussion meeting,2020-11-26
EDG000059,INV-0037,ALU-0052,investor_founder,medium,4,Term sheet discussion meeting,Term sheet discussion meeting,2021-08-20
EDG000060,INV-0029,ALU-0024,investor_founder,weak,1,Post-demo-day follow-up meeting,Post-demo-day follow-up meeting,2024-04-30
EDG000061,INV-0010,ALU-0037,investor_founder,medium,9,Initial screening call via platform match,Term sheet discussion meeting,2023-04-22
EDG000062,INV-0032,STU-0038,investor_founder,weak,1,Term sheet discussion meeting,Term sheet discussion meeting,2023-10-08
EDG000063,MEN-0085,STU-0266,mentor_mentee,medium,10,Grant application guidance session,Weekly 1:1 session on product strategy,2020-05-12
EDG000064,INV-0049,ALU-0091,investor_founder,medium,10,Co-investor introduction at startup event,Co-investor introduction at startup event,2023-12-18
EDG000065,INV-0049,ALU-0030,investor_founder,medium,5,Portfolio company referral meeting,Co-investor introduction at startup event,2024-04-28
EDG000066,INV-0032,STU-0072,investor_founder,strong,27,Term sheet discussion meeting,Due diligence call on seed round,2024-06-07
EDG000067,INV-0036,ALU-0033,investor_founder,weak,2,Warm intro via alumni network,Term sheet discussion meeting,2022-10-07
EDG000068,MEN-0092,STU-0042,mentor_mentee,weak,3,Mock investor pitch review session,Mock investor pitch review session,2020-09-17
