competition_id,profile_id,competition_name,competition_type,year,participation_role,result,team_size,theme,competition_tier
CMP00001,STU-0186,IIM Ahmedabad Eureka!,hackathon,2022,winner,Special Jury Prize,2,CleanTech & Sustainability,B
CMP00002,STU-0188,Anna University Innovation Challenge,ideathon,2019,winner,Special Jury Prize,2,Smart Cities & GovTech,C
CMP00003,ALU-0131,Anna University Innovation Challenge,startup_pitch,2021,participant,Shortlisted in top 50,5,CleanTech & Sustainability,C
CMP00004,ALU-0182,TOYCATHON,product_showcase,2024,finalist,Top 10 finalist,5,Women Empowerment & Social Impact,A
CMP00005,ALU-0184,TiE Entrepreneurial Challenge,design_sprint,2019,mentor_judge,Evaluated 30 teams as domain expert judge,0,Deep Tech & AI/ML,B
CMP00006,STU-0056,Microsoft Imagine Cup,innovation_challenge,2020,finalist,Top 5 finalist,3,Deep Tech & AI/ML,A
CMP00007,STU-0147,Anna University Innovation Challenge,product_showcase,2024,mentor_judge,Mentored 5 finalist teams,0,FinTech & Financial Inclusion,C
CMP00008,ALU-0041,NASSCOM 10K Startups,startup_pitch,2024,winner,Best Innovation Award,1,Healthcare & MedTech,B
CMP00009,STU-0173,National Entrepreneurship Challenge (IIT Bombay),product_showcase,2020,finalist,Top 10 finalist,4,EdTech & Skill Development,C
CMP00010,ALU-0140,Startup Tamil Nadu Ideathon,demo_day,2022,participant,Shortlisted in top 50,4,Healthcare & MedTech,C
CMP00011,ALU-0083,Smart India Hackathon,startup_pitch,2025,participant,Participated,5,AgriTech & Rural Development,A
CMP00012,STU-0255,CII Young Indians Innovation Challenge,ideathon,2021,participant,Participated,3,FinTech & Financial Inclusion,B
CMP00013,ALU-0014,NASSCOM 10K Startups,hackathon,2025,participant,Completed submission,1,CleanTech & Sustainability,B
CMP00014,ALU-0024,Kerala Startup Mission Demo Day,design_sprint,2021,mentor_judge,Mentored 5 finalist teams,0,Deep Tech & AI/ML,B
CMP00015,ALU-0051,India Innovation Challenge Design Contest,startup_pitch,2025,organizer,Organised successfully; 400+ participants,0,AgriTech & Rural Development,A
CMP00016,STU-0020,CII Young Indians Innovation Challenge,innovation_challenge,2024,participant,Shortlisted in top 50,2,AgriTech & Rural Development,B
CMP00017,ALU-0155,NASSCOM 10K Startups,hackathon,2021,winner,Special Jury Prize,1,Deep Tech & AI/ML,B
CMP00018,STU-0280,Kerala Startup Mission Demo Day,hackathon,2023,organizer,Coordinated 3 tracks; 200 teams,0,Healthcare & MedTech,B
CMP00019,STU-0021,TOYCATHON,ideathon,2019,finalist,National finalist,4,Cybersecurity,A
CMP00020,STU-0259,India Innovation Challenge Design Contest,ideathon,2020,participant,Completed submission,2,Healthcare & MedTech,A
CMP00021,STU-0104,Vernacular AI Hackathon by AI4Bharat,startup_pitch,2023,participant,Completed submission,5,FinTech & Financial Inclusion,B
